"date","Close","RR","RealizedVariance","atm1W","atm1M","returns","es_5","es_2.5","es_1","es_95","es_97.5","es_99"
2007-01-02,1.32734,0.457125558162419,NA,0.099841,0.079203,0.00457125558162419,0,0,0,0,0,0
2007-01-03,1.317,-0.779001612247052,NA,0.104619,0.078905,-0.00779001612247052,0,0,0,0,0,0
2007-01-04,1.3087,-0.630220197418373,NA,0.122945,0.081967,-0.00630220197418373,0,0,0,0,0,0
2007-01-05,1.30021,-0.648735386261167,NA,0.066408,0.066767,-0.00648735386261167,0,0,0,0,0,0
2007-01-08,1.30366,0.243754277233975,0.338651706820029,0.064981,0.064818,0.00243754277233975,0,0,0,0,0,0
2007-01-09,1.29929,-0.33521010079315,0.319332113969719,0.064422,0.064252,-0.0033521010079315,0,0,0,0,0,0
2007-01-10,1.29357,-0.440240439008993,0.236725740420784,0.063549,0.063185,-0.00440240439008993,0,0,0,0,0,0
2007-01-11,1.2892,-0.337824779486244,0.180115357300959,0.064254,0.063791,-0.00337824779486244,0,0,0,0,0,0
2007-01-12,1.29225,0.236580825318026,0.107137934405106,0.063371,0.063065,0.00236580825318026,0,0,0,0,0,0
2007-01-16,1.29175,-0.103627744395218,0.0974024467528227,0.067007,0.065898,-0.00103627744395218,0,0,0,0,0,0
2007-01-17,1.29378,0.157151151538609,0.079868581304054,0.064463,0.064421,0.00157151151538609,0,0,0,0,0,0
2007-01-18,1.296,0.171590223994814,0.046994893470406,0.061929,0.061965,0.00171590223994814,0,0,0,0,0,0
2007-01-19,1.29495,-0.0810185185185182,0.0254825772120072,0.059077,0.059745,-0.000810185185185182,0,0,0,0,0,0
2007-01-22,1.29476,-0.095679012345689,0.0161193745110648,0.060831,0.060131,-0.00095679012345689,0,0,0,0,0,0
2007-01-23,1.3021,0.566900429423223,0.0782468520054237,0.064336,0.062816,0.00566900429423223,0,0,0,0,0,0
2007-01-24,1.29619,-0.45388219030797,0.114509363655194,0.063991,0.063061,-0.0045388219030797,0,0,0,0,0,0
2007-01-25,1.29367,-0.194415942107242,0.116180234370165,0.064291,0.063342,-0.00194415942107242,0,0,0,0,0,0
2007-01-26,1.29164,-0.156917915697218,0.11979208075493,0.063705,0.062416,-0.00156917915697218,0,0,0,0,0,0
2007-01-29,1.29611,0.316558567204854,0.138003051368398,0.066014,0.063208,0.00316558567204854,0,0,0,0,0,0
2007-01-30,1.29627,0.0123446312427138,0.0737583099764549,0.066859,0.062637,0.000123446312427138,0,0,0,0,0,0
2007-01-31,1.3023,0.465180865097548,0.0758351488912833,0.068466,0.063925,0.00465180865097548,0,0,0,0,0,0
2007-02-01,1.30133,-0.0744836059279671,0.0693851986926006,0.068382,0.06508,-0.000744836059279671,0,0,0,0,0,0
2007-02-02,1.2959,-0.417265413077394,0.0992826372293783,0.064723,0.061914,-0.00417265413077394,0,0,0,0,0,0
2007-02-05,1.29326,-0.205259583924925,0.087667071293827,0.070783,0.0627,-0.00205259583924925,0,0,0,0,0,0
2007-02-06,1.29812,0.375794503812061,0.115880895128794,0.071705,0.062243,0.00375794503812061,0,0,0,0,0,0
2007-02-07,1.30219,0.313530336178475,0.0922625020190509,0.075702,0.061996,0.00313530336178475,0,0,0,0,0,0
2007-02-08,1.30353,0.102903570139543,0.0932707694581372,0.073781,0.060682,0.00102903570139543,0,0,0,0,0,0
2007-02-09,1.30073,-0.214801347111316,0.0676766082121748,0.060427,0.060223,-0.00214801347111316,0,0,0,0,0,0
2007-02-12,1.2957,-0.466288207594277,0.102735247361865,0.06151,0.060374,-0.00466288207594277,0,0,0,0,0,0
2007-02-13,1.30308,0.569576290808053,0.139374375752926,0.057813,0.057972,0.00569576290808053,0,0,0,0,0,0
